x1,x2
0.88,-0.02
0.88,-0.02
0.88,-0.02
0.88,-0.01
0.88,-0.01
0.88,-0.02
0.88,-0.02
0.88,-0.03
0.88,-0.03
0.88,-0.02
0.88,-0.02
0.88,0.0
0.88,0.0
0.88,-0.02
0.88,-0.02
0.88,-0.03
0.88,-0.03
0.88,-0.02
0.88,-0.02
0.88,-0.01
0.88,-0.01
0.88,-0.02
0.88,-0.02
0.88,-0.02
0.88,-0.02
0.88,-0.02
0.88,-0.02
0.88,-0.03
0.88,-0.03
0.88,-0.02
0.88,-0.02
0.88,-0.02
0.88,-0.02
0.88,-0.02
0.88,-0.02
0.88,-0.03
0.88,-0.03
0.88,-0.03
0.88,-0.03
0.88,-0.03
0.88,-0.03
0.88,-0.02
0.88,-0.02
0.88,-0.01
0.88,-0.01
0.88,-0.02
0.88,-0.02
0.88,-0.02
0.88,-0.02
0.88,-0.03
0.88,-0.03
0.88,-0.02
0.88,-0.02
0.88,-0.02
0.88,-0.02
0.88,-0.03
0.88,-0.03
0.88,-0.02
0.88,-0.02
0.88,-0.02
0.88,-0.02
0.88,-0.02
0.88,-0.02
0.88,-0.03
0.88,-0.03
0.88,-0.03
0.88,-0.03
0.88,-0.03
0.88,-0.03
0.88,-0.01
0.88,-0.01
0.88,-0.06
0.88,-0.06
0.88,-0.03
0.88,-0.03
0.88,-0.01
0.88,-0.01
0.88,-0.04
0.88,-0.04
0.88,0.0
0.88,0.0
0.88,-0.02
0.88,-0.02
0.88,-0.02
0.88,-0.02
0.88,-0.01
0.88,-0.01
0.88,0.0
0.88,0.0
0.88,-0.01
0.88,-0.01
0.88,-0.01
0.88,-0.01
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,-0.01
0.88,-0.01
0.88,0.0
0.88,0.0
0.88,-0.01
0.88,-0.01
0.88,0.0
0.88,0.0
0.88,-0.01
0.88,-0.01
0.88,-0.01
0.88,-0.01
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,-0.01
0.88,-0.01
0.88,-0.01
0.88,-0.01
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,-0.01
0.88,-0.01
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,-0.02
0.88,-0.02
0.88,-0.01
0.88,-0.01
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,0.0
0.88,-0.01
0.88,-0.01
0.88,0.0
0.88,0.0
0.88,0.0
